age,park,hospital,supermarket,office,school,leisure,shopping,academic,lecturehall,library,sports,cafe,bar
0,120,40,0,0,0,0,0,0,0,0,0,0,0
1,120,40,0,0,0,0,0,0,0,0,0,0,0
2,120,40,60,0,0,420,98,0,0,0,0,0,0
3,120,40,60,0,0,420,98,0,0,0,0,0,0
4,120,40,60,0,0,420,98,0,0,0,0,0,0
5,120,40,60,0,0,420,98,0,0,0,0,0,0
6,120,40,60,0,0,420,98,0,0,0,0,0,0
7,120,40,60,0,0,420,98,0,0,0,0,0,0
8,120,40,60,0,0,420,98,0,0,0,0,0,0
9,120,40,60,0,0,420,98,0,0,0,0,0,0
10,120,40,60,0,0,420,98,0,0,0,0,0,0
11,120,40,60,0,0,420,98,0,0,0,0,0,0
12,120,40,60,0,0,420,98,0,0,0,0,0,0
13,120,40,60,0,0,420,98,0,0,0,0,0,0
14,120,40,60,0,0,420,98,0,0,0,0,0,0
15,120,40,60,0,0,420,98,0,0,0,0,0,0
16,74,40,60,1758,1950,600,98,1950,900,600,300,300,300
17,74,40,60,1758,1950,600,98,1950,900,600,300,300,300
18,74,40,60,1758,1950,600,98,1950,900,600,300,300,300
19,74,40,60,1758,1950,600,98,1950,900,600,300,300,300
20,74,40,60,1758,1950,600,98,1950,900,600,300,300,300
21,74,40,60,1758,1950,600,98,1950,900,600,300,300,300
22,74,40,60,1758,1950,600,98,1950,900,600,300,300,300
23,74,40,60,1758,1950,600,98,1950,900,600,300,300,300
24,74,40,60,1758,1950,600,98,1950,900,600,300,300,300
25,74,40,60,2058,1950,600,98,1950,900,600,300,300,300
26,74,40,60,2058,1950,600,98,1950,900,600,300,300,300
27,74,40,60,2058,1950,600,98,1950,900,600,300,300,300
28,74,40,60,2058,1950,600,98,1950,900,600,300,300,300
29,74,40,60,2058,1950,600,98,1950,900,600,300,300,300
30,74,40,60,2058,1950,600,98,2700,900,600,300,300,300
31,74,40,60,2058,1950,600,98,2700,900,600,300,300,300
32,74,40,60,2058,1950,600,98,2700,900,600,300,300,300
33,74,40,60,2058,1950,600,98,2700,900,600,300,300,300
34,74,40,60,2058,1950,600,98,2700,900,600,300,300,300
35,74,40,60,2058,1950,600,98,2700,900,600,300,300,300
36,74,40,60,2058,1950,600,98,2700,900,600,300,300,300
37,74,40,60,2058,1950,600,98,2700,900,600,300,300,300
38,74,40,60,2058,1950,600,98,2700,900,600,300,300,300
39,74,40,60,2058,1950,600,98,2700,900,600,300,300,300
40,74,40,60,2058,1950,600,98,2700,900,600,300,300,300
41,74,40,60,2058,0,600,98,0,0,0,0,0,0
42,74,40,60,2058,0,600,98,0,0,0,0,0,0
43,74,40,60,2058,0,600,98,0,0,0,0,0,0
44,74,40,60,2058,0,600,98,0,0,0,0,0,0
45,74,40,60,2058,0,600,98,0,0,0,0,0,0
46,74,40,60,2058,0,600,98,0,0,0,0,0,0
47,74,40,60,2058,0,600,98,0,0,0,0,0,0
48,74,40,60,2058,0,600,98,0,0,0,0,0,0
49,74,40,60,2058,0,600,98,0,0,0,0,0,0
50,74,40,60,2058,0,600,98,0,0,0,0,0,0
51,74,40,60,2058,0,600,98,0,0,0,0,0,0
52,74,40,60,2058,0,600,98,0,0,0,0,0,0
53,74,40,60,2058,0,600,98,0,0,0,0,0,0
54,74,40,60,2058,0,600,98,0,0,0,0,0,0
55,74,40,60,1842,0,600,98,0,0,0,0,0,0
56,74,40,60,1842,0,600,98,0,0,0,0,0,0
57,74,40,60,1842,0,600,98,0,0,0,0,0,0
58,74,40,60,1842,0,600,98,0,0,0,0,0,0
59,74,40,60,1842,0,600,98,0,0,0,0,0,0
60,74,40,60,1842,0,600,98,0,0,0,0,0,0
61,74,40,60,1842,0,600,98,0,0,0,0,0,0
62,74,40,60,1842,0,600,98,0,0,0,0,0,0
63,74,40,60,1842,0,600,98,0,0,0,0,0,0
64,74,40,60,1842,0,600,98,0,0,0,0,0,0
65,30,40,60,1278,0,120,98,0,0,0,0,0,0
66,30,40,60,1278,0,120,98,0,0,0,0,0,0
67,30,40,60,1278,0,120,98,0,0,0,0,0,0
68,30,40,60,1278,0,120,98,0,0,0,0,0,0
69,30,40,60,1278,0,120,98,0,0,0,0,0,0
70,30,40,60,1278,0,120,98,0,0,0,0,0,0
71,30,40,60,1278,0,120,98,0,0,0,0,0,0
72,30,40,60,1278,0,120,98,0,0,0,0,0,0
73,30,40,60,1278,0,120,98,0,0,0,0,0,0
74,30,40,60,1278,0,120,98,0,0,0,0,0,0
75,30,40,60,1278,0,120,98,0,0,0,0,0,0
76,30,40,60,0,0,120,98,0,0,0,0,0,0
77,30,40,60,0,0,120,98,0,0,0,0,0,0
78,30,40,60,0,0,120,98,0,0,0,0,0,0
79,30,40,60,0,0,120,98,0,0,0,0,0,0
80,30,40,60,0,0,120,98,0,0,0,0,0,0
81,30,40,60,0,0,120,98,0,0,0,0,0,0
82,30,40,60,0,0,120,98,0,0,0,0,0,0
83,30,40,60,0,0,120,98,0,0,0,0,0,0
84,30,40,60,0,0,120,98,0,0,0,0,0,0
85,30,40,60,0,0,120,98,0,0,0,0,0,0
86,30,40,60,0,0,120,98,0,0,0,0,0,0
87,30,40,60,0,0,120,98,0,0,0,0,0,0
88,30,40,60,0,0,120,98,0,0,0,0,0,0
89,30,40,60,0,0,120,98,0,0,0,0,0,0
90,30,40,60,0,0,120,98,0,0,0,0,0,0
91,30,40,60,0,0,120,98,0,0,0,0,0,0
92,30,40,60,0,0,120,98,0,0,0,0,0,0
93,30,40,60,0,0,120,98,0,0,0,0,0,0
94,30,40,60,0,0,120,98,0,0,0,0,0,0
95,30,40,60,0,0,120,98,0,0,0,0,0,0
96,30,40,60,0,0,120,98,0,0,0,0,0,0
97,30,40,60,0,0,120,98,0,0,0,0,0,0
98,30,40,60,0,0,120,98,0,0,0,0,0,0
99,30,40,60,0,0,120,98,0,0,0,0,0,0
100,30,40,60,0,0,120,98,0,0,0,0,0,0
101,30,40,60,0,0,120,98,0,0,0,0,0,0
102,30,40,60,0,0,120,98,0,0,0,0,0,0
103,30,40,60,0,0,120,98,0,0,0,0,0,0
104,30,40,60,0,0,120,98,0,0,0,0,0,0
105,30,40,60,0,0,120,98,0,0,0,0,0,0
106,30,40,60,0,0,120,98,0,0,0,0,0,0
107,30,40,60,0,0,120,98,0,0,0,0,0,0
108,30,40,60,0,0,120,98,0,0,0,0,0,0
109,30,40,60,0,0,120,98,0,0,0,0,0,0
110,30,40,60,0,0,120,98,0,0,0,0,0,0
111,30,40,60,0,0,120,98,0,0,0,0,0,0
112,30,40,60,0,0,120,98,0,0,0,0,0,0
113,30,40,60,0,0,120,98,0,0,0,0,0,0
114,30,40,60,0,0,120,98,0,0,0,0,0,0
115,30,40,60,0,0,120,98,0,0,0,0,0,0
116,30,40,60,0,0,120,98,0,0,0,0,0,0
117,30,40,60,0,0,120,98,0,0,0,0,0,0
118,30,40,60,0,0,120,98,0,0,0,0,0,0
119,30,40,60,0,0,120,98,0,0,0,0,0,0
