park,hospital,supermarket,office,school,leisure,shopping
1,2,3,29,41,5,3
1,2,3,407,41,5,3
1,2,3,80,41,15,3
1,2,3,316,41,15,3
1,2,3,1,41,15,3
1,2,3,346,41,15,3
1,2,3,71,41,5,3
1,2,3,188,41,40,3
1,2,3,171,41,15,3
1,2,3,173,41,15,3
1,2,3,235,41,5,3
1,2,3,178,41,5,3
1,2,3,20,41,5,3
1,2,3,206,41,5,3
1,2,3,335,41,15,3
1,2,3,267,41,5,3
1,2,3,154,41,15,3
1,2,3,233,41,15,3
1,2,3,277,41,15,3
1,2,3,222,41,15,3
1,2,3,174,41,15,3
1,2,3,30,41,15,3
1,2,3,165,41,15,3
1,2,3,130,41,15,3
1,2,3,187,41,15,3
1,2,3,83,41,5,3
1,2,3,6,41,5,3
1,2,3,39,41,15,3
1,2,3,88,41,15,3
1,2,3,397,41,15,3
1,2,3,396,41,15,3
1,2,3,94,41,5,3
1,2,3,70,41,15,3
1,2,3,121,41,15,3
1,2,3,229,41,5,3
1,2,3,229,41,5,3
1,2,3,156,41,15,3
1,2,3,7,41,15,3
1,2,3,246,41,5,3
1,2,3,227,41,15,3
1,2,3,139,41,15,3
1,2,3,213,41,15,3
1,2,3,138,41,15,3
1,2,3,407,41,40,3
1,2,3,39,41,15,3
1,2,3,116,41,5,3
1,2,3,405,41,15,3
1,2,3,100,41,5,3
1,2,3,387,41,15,3
1,2,3,324,41,5,3
1,2,3,193,41,15,3
1,2,3,139,41,15,3
1,2,3,84,41,15,3
1,2,3,197,41,15,3
1,2,3,123,41,15,3
1,2,3,328,41,15,3
1,2,3,281,41,15,3
1,2,3,152,41,40,3
1,2,3,371,41,15,3
1,2,3,345,41,15,3
1,2,3,66,41,15,3
1,2,3,37,41,15,3
1,2,3,143,41,15,3
1,2,3,299,41,15,3
1,2,3,235,41,15,3
1,2,3,121,41,15,3
1,2,3,309,41,15,3
1,2,3,243,41,15,3
1,2,3,1,41,15,3
1,2,3,262,41,15,3
1,2,3,114,41,15,3
1,2,3,326,41,15,3
1,2,3,152,41,5,3
1,2,3,126,41,15,3
1,2,3,237,41,15,3
1,2,3,123,41,15,3
1,2,3,146,41,15,3
1,2,3,404,41,40,3
1,2,3,56,41,40,3
1,2,3,258,41,15,3
1,2,3,300,41,15,3
1,2,3,346,41,15,3
1,2,3,130,41,15,3
1,2,3,80,41,15,3
1,2,3,237,41,15,3
