park,hospital,supermarket,office,school,leisure,shopping
12,1,20,124,78,27,20
12,1,20,27,78,27,20
12,1,3,244,78,27,23
12,1,3,280,78,27,20
12,1,3,246,78,27,20
12,1,0,381,78,1,20
12,1,21,442,78,27,20
12,1,3,419,78,27,23
12,1,3,145,78,27,20
12,1,3,479,78,27,23
12,1,3,517,78,27,20
12,1,3,382,78,27,20
12,1,3,147,78,27,20
12,1,3,231,78,27,23
12,1,3,215,78,27,20
12,1,3,152,78,27,23
12,1,3,201,78,27,23
12,1,3,227,78,27,20
12,1,3,362,78,27,23
12,1,3,488,78,27,20
12,1,21,152,78,27,3
12,1,3,127,78,27,23
12,1,3,311,78,27,23
12,1,3,288,78,27,23
12,1,3,131,78,27,20
12,1,3,413,78,27,20
12,1,3,401,78,27,23
12,1,3,125,78,27,23
12,1,3,339,78,27,20
12,1,3,156,78,27,23
12,1,21,399,78,27,20
12,1,3,267,78,27,20
12,1,3,28,78,27,23
12,1,3,447,78,27,23
12,1,3,151,78,27,3
12,1,3,68,78,27,20
12,1,3,302,78,27,23
12,1,21,313,78,27,20
12,1,3,493,78,27,23
12,1,3,96,78,27,20
12,1,3,281,78,27,20
12,1,3,111,78,27,20
12,1,3,238,78,27,20
12,1,20,295,78,27,20
12,1,21,338,78,27,3
12,1,0,324,78,1,36
12,1,3,429,78,27,23
12,1,3,463,78,27,23
12,1,21,509,78,27,20
12,1,21,255,78,27,20
12,1,3,34,78,27,23
12,1,3,451,78,27,20
12,1,3,386,78,27,23
12,1,3,478,78,27,23
12,1,0,435,78,1,36
12,1,3,65,78,27,20
12,1,3,144,78,27,23
12,1,0,373,78,27,20
12,1,3,148,78,27,23
12,1,3,146,78,27,20
12,1,3,3,78,27,20
12,1,3,222,78,27,20
12,1,3,449,78,27,23
12,1,3,178,78,27,23
12,1,3,72,78,27,23
12,1,3,405,78,27,20
12,1,3,105,78,27,20
12,1,3,74,78,27,23
12,1,3,445,78,27,23
12,1,3,100,78,27,3
12,1,3,202,78,27,23
12,1,3,447,78,27,20
12,1,3,292,78,27,23
12,1,3,521,78,27,20
12,1,21,474,78,27,3
12,1,3,138,78,27,23
12,1,20,274,78,27,20
12,1,3,501,78,27,3
12,1,3,486,78,27,20
12,1,21,120,78,27,3
12,1,3,460,78,27,23
12,1,0,223,78,27,20
