age,school,office,shopping,supermarket,leisure,park,hospital
0,0,0,0,0,0,0,0
1,360,0,0,0,0,0,0
2,360,0,0,0,0,0,0
3,360,0,0,0,0,0,0
4,360,0,0,0,0,0,0
5,360,0,0,0,0,0,0
6,360,0,0,0,0,0,0
7,360,0,0,0,0,0,0
8,360,0,0,0,0,0,0
9,360,0,0,0,0,0,0
10,360,0,0,0,0,0,0
11,360,0,0,0,0,0,0
12,360,0,0,0,0,0,0
13,360,0,0,0,0,0,0
14,360,0,0,0,0,0,0
15,360,0,0,0,0,0,0
16,360,0,0,0,0,0,0
17,360,0,0,0,0,0,0
18,360,0,0,0,0,0,0
19,360,0,0,0,0,0,0
20,360,0,0,0,0,0,0
21,360,0,0,0,0,0,0
22,360,0,0,0,0,0,0
23,360,0,0,0,0,0,0
24,360,0,0,0,0,0,0
25,360,0,0,0,0,0,0
26,360,0,0,0,0,0,0
27,360,0,0,0,0,0,0
28,360,0,0,0,0,0,0
29,360,0,0,0,0,0,0
30,360,0,0,0,0,0,0
31,360,0,0,0,0,0,0
32,360,0,0,0,0,0,0
33,360,0,0,0,0,0,0
34,360,0,0,0,0,0,0
35,360,0,0,0,0,0,0
36,360,0,0,0,0,0,0
37,360,0,0,0,0,0,0
38,360,0,0,0,0,0,0
39,360,0,0,0,0,0,0
40,360,0,0,0,0,0,0
41,360,0,0,0,0,0,0
42,360,0,0,0,0,0,0
43,360,0,0,0,0,0,0
44,360,0,0,0,0,0,0
45,360,0,0,0,0,0,0
46,360,0,0,0,0,0,0
47,360,0,0,0,0,0,0
48,360,0,0,0,0,0,0
49,360,0,0,0,0,0,0
50,360,0,0,0,0,0,0
51,360,0,0,0,0,0,0
52,360,0,0,0,0,0,0
53,360,0,0,0,0,0,0
54,360,0,0,0,0,0,0
55,360,0,0,0,0,0,0
56,360,0,0,0,0,0,0
57,360,0,0,0,0,0,0
58,360,0,0,0,0,0,0
59,360,0,0,0,0,0,0
60,360,0,0,0,0,0,0
61,360,0,0,0,0,0,0
62,360,0,0,0,0,0,0
63,360,0,0,0,0,0,0
64,360,0,0,0,0,0,0
65,360,0,0,0,0,0,0
66,360,0,0,0,0,0,0
67,360,0,0,0,0,0,0
68,360,0,0,0,0,0,0
69,360,0,0,0,0,0,0
70,360,0,0,0,0,0,0
71,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0
